X,Y,OBJECTID,AGENCY,PROJECT_TITLE,ADDRESS,MAR_MATCHADDRESS,LABEL,YEAR,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0680394309421,38.966635018804,39,District of Columbia Public Schools,Lafayette Elementary School,5701 Broad Branch Rd. NW,5701 Broad Branch Rd. NW,12,2012,394103.71,144303.7,294611,CapitalProjectsPt_281,{DFD9C899-3EF4-4365-BB9A-0995641F9897},,,,
-77.0680394309421,38.966635018804,40,DCPS,Lafayette ES,5701 Broad Branch Road NW,5701 BROAD BRANCH ROAD NW,10,2014,394103.71,144303.7,294611,CapitalProjectsPt_377,{FC007BB0-D8BF-4F62-9E3D-DA5ECF601FD8},,,,
-77.0680394309421,38.966635018804,41,GA0 - DCPS,Lafayette ES Modernization/Renovation,5701 BROAD BRANCH ROAD NW,5701 BROAD BRANCH ROAD NW,11,2013,394103.71,144303.7,294611,CapitalProjectsPt_315,{21F9DE56-F148-4F2E-A940-706A2737F6D3},,,,
-77.0680394309421,38.966635018804,42,DCPS,Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,5701 BROAD BRANCH ROAD NW,17,2015,394103.71,144303.7,294611,CapitalProjectsPt_185,{4B6F4C1A-C204-4449-BA88-105484BDA4BD},,,,
-77.0680394194031,38.9666350188107,43,,PHASE 1,5701 BROAD BRANCH ROAD NW,5701 BROAD BRANCH ROAD NW,,2010,394103.7105,144303.7,294611,CapitalProjectsPt_218,{40A1DE1C-6586-45D7-BB2B-621260D7F996},,,,
-77.0192408957372,38.9658647394447,44,DCPS,Whittier Education Campus,6201 5TH STREET NW,6201 5TH STREET NW,41,2021,398332.71,144216.17,294614,CapitalProjectsPt_780,{49164CBD-0028-4766-971C-0D01E9BBABAC},,,,
-77.0192408957372,38.9658647394447,45,DCPS,New North Middle School,6201 5TH STREET NW,6201 5TH STREET NW,21,2015,398332.71,144216.17,294614,CapitalProjectsPt_191,{35C91378-8CF9-4F32-98AE-71108784DDBA},,,,
-77.0192408841983,38.9658647394466,46,,PHASE 1,6201 5TH STREET NW,6201 5TH STREET NW,,2010,398332.7105,144216.17,294614,CapitalProjectsPt_220,{C87DB272-4D3A-4FC5-8C22-38D2709B3D1E},,,,
-77.075432033065,38.9655833644787,47,DCPL,Chevy Chase Library,5625 CONNECTICUT AVENUE NW,5625 CONNECTICUT AVENUE NW,1,2021,393462.95,144187.46,263960,CapitalProjectsPt_781,{7B06DC21-9DF9-4D17-B0BE-DFAA3B73FC37},,,,
-77.0751109299502,38.9651662188685,48,DPR,Chevy Chase Recreation Center,5601 CONNECTICUT AVENUE NW,5601 CONNECTICUT AVENUE NW,3,2017,393490.74,144141.13,263959,CapitalProjectsPt_477,{BF3A339B-2354-4D88-A33D-0B3FFEA45014},,,,
-77.0751109299502,38.9651662188685,49,DPR,Chevy Chase Community Center,5601 CONNECTICUT AVENUE NW,5601 CONNECTICUT AVENUE NW,5,2019,393490.74,144141.13,263959,CapitalProjectsPt_621,{7E8A8C4C-3211-4039-A1DF-A3B27287121B},,,,
-77.0751109299502,38.9651662188685,50,HA0,CHEVY CHASE RECREATION CENTER,5601 CONNECTICUT AVENUE NW,5601 CONNECTICUT AVENUE NW,,2010,393490.74,144141.13,263959,CapitalProjectsPt_48,{043B4374-F129-482F-8932-6AC8C946D291},,,,
-77.0751109299502,38.9651662188685,51,DPR,Chevy Chase Recreation Center,5601 Connecticut Avenue NW,5601 CONNECTICUT AVENUE NW,4,2015,393490.74,144141.13,263959,CapitalProjectsPt_146,{7B89A72E-CD44-4F9C-8B46-877E5D141DE0},,,,
